и;3197;3.4888415%
в;1912;2.086539%
на;1479;1.6140121%
не;1367;1.491788%
что;1080;1.178589%
его;1036;1.1305724%
с;937;1.0225351%
он;840;0.91668034%
Миднайт;742;0.8097343%
Келемвор;662;0.72243136%
из;643;0.70169693%
к;614;0.67004967%
как;520;0.56746876%
ее;469;0.51181316%
она;458;0.49980903%
сказал;453;0.4943526%
за;447;0.4878049%
Сайрик;441;0.48125717%
был;433;0.47252688%
то;432;0.47143558%
от;424;0.46270528%
все;408;0.44524473%
Я;408;0.44524473%
Адон;386;0.42123643%
чтобы;383;0.41796258%
было;362;0.39504555%
это;344;0.37540242%
но;342;0.37321985%
их;340;0.37103727%
я;334;0.36448956%
они;312;0.34048125%
были;306;0.33393353%
по;306;0.33393353%
Он;301;0.3284771%
ты;290;0.31647298%
когда;278;0.30337754%
Бэйн;258;0.2815518%
о;249;0.27173024%
была;248;0.27063894%
еще;233;0.25426966%
же;221;0.24117422%
у;217;0.23680907%
Ты;216;0.23571779%
Но;215;0.2346265%
Затем;197;0.21498336%
чем;192;0.20952693%
бы;191;0.20843564%
которые;190;0.20734435%
В;185;0.20188792%
сказала;183;0.19970535%
Она;178;0.19424893%
лишь;177;0.19315764%
него;176;0.19206636%
так;169;0.18442735%
для;168;0.18333606%
свою;166;0.18115349%
до;166;0.18115349%
уже;162;0.17678834%
свои;160;0.17460577%
меня;157;0.17133191%
тебя;156;0.17024063%
ему;153;0.16696677%
Келемвора;149;0.16260162%
который;148;0.16151033%
словно;145;0.15823649%
а;142;0.15496263%
свой;141;0.15387134%
них;140;0.15278006%
даже;140;0.15278006%
Это;140;0.15278006%
мы;140;0.15278006%
Мистра;137;0.1495062%
Когда;133;0.14514105%
затем;133;0.14514105%
время;132;0.14404976%
вновь;131;0.14295848%
мне;131;0.14295848%
себя;131;0.14295848%
через;128;0.13968462%
этого;125;0.13641076%
Бэйна;124;0.13531947%
посмотрел;117;0.12768047%
пока;117;0.12768047%
Эльминстер;116;0.12658918%
Сайрика;114;0.12440661%
Кайтлан;110;0.12004147%
того;109;0.11895018%
рядом;109;0.11895018%
если;109;0.11895018%
со;109;0.11895018%
тебе;107;0.11676761%
быть;105;0.11458504%
или;105;0.11458504%
И;103;0.11240247%
перед;102;0.11131118%
только;102;0.11131118%
назад;101;0.110219896%
своих;101;0.110219896%
руки;100;0.10912861%
человек;100;0.10912861%
ним;99;0.10803732%
мог;99;0.10803732%
Мы;98;0.106946036%
Они;97;0.10585475%
глаза;94;0.10258089%
должен;93;0.1014896%
своей;93;0.1014896%
произнес;92;0.10039832%
нее;91;0.09930703%
один;90;0.098215744%
этом;89;0.097124465%
больше;88;0.09603318%
Его;88;0.09603318%
На;88;0.09603318%
Адона;87;0.09494189%
раз;86;0.093850605%
Внезапно;85;0.09275932%
своего;84;0.09166803%
